video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=xrySrqtbG4Q&pp=ygUWVVMgc2VuZHMgYWlkIHRvIElzcmFlbA%3D%3D,/@NBCNews,NBC News,Officials: U.S. military presence near Israel a blunt message to Iran and Hezbollah,597K,3 months,NBC News' Courtney Kube reports on how U.S. support for Israel is shaping messages of deterrence to other groups in the Middle ...,2024-01-30 08:54:40.960898
/watch?v=f-iiquOBE00&pp=ygUWVVMgc2VuZHMgYWlkIHRvIElzcmFlbA%3D%3D,/@CBSNews,CBS News,U.S. aircraft carrier is show of support for Israel in war against Hamas,94K,3 months,The USS Gerald R. Ford's positioning near Israel is part of the United States' show of support after Hamas launched an ...,2024-01-30 08:54:40.964036
/watch?v=M-iJHHGbKWQ&pp=ygUWVVMgc2VuZHMgYWlkIHRvIElzcmFlbA%3D%3D,/@TheIsraelGuys,The Israel Guys,Republican Candidates Talk of Cutting US AID TO ISRAEL On Debate Stage,12K,5 months,"Last night Israel was discussed in the Republican primary debate. There was talk of cutting US aid to Israel, with some heated ...",2024-01-30 08:54:40.967118
/watch?v=aU6f8IFvNSo&pp=ygUWVVMgc2VuZHMgYWlkIHRvIElzcmFlbA%3D%3D,/@HT-Videos,Hindustan Times,"Iran Drops A Bombshell; '5,000 American Soldiers Assisting Israel In Gaza' | U.S. Responds",390K,3 months,Iran has claimed that 5000 American troops are taking part in Israel's offensive in Gaza against Hamas. According to Iran's ...,2024-01-30 08:54:40.970442
/watch?v=2IZbbDBA4Hc&pp=ygUWVVMgc2VuZHMgYWlkIHRvIElzcmFlbA%3D%3D,/@aljazeeraenglish,Al Jazeera English,US President Joe Biden has warned against countries interfering in Israel,143K,3 months,US President Joe Biden has vowed to support Israel and has warned against countries interfering in Israel. Al Jazeera's Dorsa ...,2024-01-30 08:54:40.973570
/watch?v=tH-RszNoRJA&pp=ygUWVVMgc2VuZHMgYWlkIHRvIElzcmFlbA%3D%3D,/@UNPACKED,Unpacked,U.S. Foreign Aid to Israel Explained | Unpacked,29K,2 years,Americans tend to overestimate how much the U.S. gives to other countries in foreign aid. Many assume that the U.S. gives 25% of ...,2024-01-30 08:54:40.978550
/watch?v=-xHwK-KSCY4&pp=ygUWVVMgc2VuZHMgYWlkIHRvIElzcmFlbA%3D%3D,/@aljazeeraenglish,Al Jazeera English,UNRWA funding cuts: Why is Israel trying to destroy the UN aid agency for Palestinian refugees?,48K,1 day,"The United Nations Agency for Palestinian Refugees (UNRWA), considered a lifeline for two million people in the besieged ...",2024-01-30 08:54:40.981691
/watch?v=uN16L4hkpEg&pp=ygUWVVMgc2VuZHMgYWlkIHRvIElzcmFlbA%3D%3D,/@ABCNews,ABC News,US speeds request for weapons to Israel,28K,3 months,"As Israel unleashes a relentless barrage of missiles on Gaza, the U.S. is sending some of the most sophisticated warships in the ...",2024-01-30 08:54:40.993442
/watch?v=ZmPvwjNanEw&pp=ygUWVVMgc2VuZHMgYWlkIHRvIElzcmFlbA%3D%3D,/@DemocracyNow,Democracy Now!,"Despite Looming Gaza Famine, U.S. Halts UNRWA Funding After Israel Claims Staff Aided Oct. 7 Attack",46K,17 hours,Support our work: https://democracynow.org/give On the same day the U.N.'s highest court accepted South Africa's case alleging ...,2024-01-30 08:54:40.997839
/watch?v=CLNc-e69zTw&pp=ygUWVVMgc2VuZHMgYWlkIHRvIElzcmFlbA%3D%3D,/@aljazeeraenglish,Al Jazeera English,President Biden tells Netanyahu in phone call that more military aid is on its way to Israel,69K,3 months,President Joe Biden has been speaking on the phone with Benjamin Natanyahu. We have a team of correspondents covering this ...,2024-01-30 08:54:41.007781
/watch?v=BPpgVrUEktI&pp=ygUWVVMgc2VuZHMgYWlkIHRvIElzcmFlbA%3D%3D,/@NBCNews,NBC News,Mounting questions about future U.S. aid for Israel as fighting rages,37K,3 months,"As fighting rages and Congress is unable to act without a House speaker, there are mounting questions about future United States ...",2024-01-30 08:54:41.011267
/watch?v=zOp_jWBNo24&pp=ygUWVVMgc2VuZHMgYWlkIHRvIElzcmFlbA%3D%3D,/@PBSNewsHour,PBS NewsHour,Turmoil in Israel prompts new calls for U.S. to cut off billions in annual aid,12K,6 months,"Israel's current political turmoil, driven by the most far-right government in that nation's history, has renewed the debate over ...",2024-01-30 08:54:41.018702
/watch?v=xze7If4SmDM&pp=ygUWVVMgc2VuZHMgYWlkIHRvIElzcmFlbA%3D%3D,/@aljazeeraenglish,Al Jazeera English,How the US supports Israel’s military | Al Jazeera Newsfeed,66K,3 months,"The Israel military waging war in Gaza has one of the world's most powerful militaries, bolstered by billions of dollars of military aid ...",2024-01-30 08:54:41.021906
/watch?v=-DcApnckbtw&pp=ygUWVVMgc2VuZHMgYWlkIHRvIElzcmFlbA%3D%3D,/@CBSEveningNews,CBS Evening News,White House sending weapons to Israel,11K,3 months,The White House is sending weapons to Israel and moving warships to the region amid the ongoing fighting between Hamas ...,2024-01-30 08:54:49.107540
/watch?v=1VGrVrF9zOY&pp=ygUWVVMgc2VuZHMgYWlkIHRvIElzcmFlbA%3D%3D,/@CTVNews,CTV News,"U.S. sending warships, fighter jets and other military assets to Israel | CTV National News",47K,3 months,The U.S. is sending warships and fighter jets to Israel after fighting that left 11 Americans among the dead. CTV's Joy Malbon ...,2024-01-30 08:54:49.109894
/watch?v=0RB87guU-M4&pp=ygUWVVMgc2VuZHMgYWlkIHRvIElzcmFlbA%3D%3D,/@HT-Videos,Hindustan Times,"USA Sends Nuclear Bomber Near Russia Border, Intercepted By Fighter Jet Amid Israel-Hamas War",334K,3 months,"Amid mounting geopolitical tensions due to the Israel-Hamas war, the United States of America allegedly sent two Bomber planes ...",2024-01-30 08:54:49.111830
